Time Slot,Rush Hour,Day,Working Day,City,Area Name,Population,Two-Wheeler Count,Four-Wheeler Count,Weather,Traffic Density
14:00,Yes,Sunday,No,Bengaluru,Hebbal,290000,155,206,Cloudy,High
15:00,Yes,Sunday,No,Bengaluru,Ulsoor,220000,897,167,Rainy,High
16:00,Yes,Sunday,No,Bengaluru,Jayanagar,250000,705,480,Foggy,Medium
11:00,Yes,Wednesday,Yes,Mumbai,Andheri West,1300000,450,494,Rainy,Medium
14:00,Yes,Sunday,No,Bengaluru,Jayanagar,250000,724,481,Foggy,High
18:00,No,Sunday,No,Chennai,Chromepet,1320000,902,181,Sunny,Medium
19:00,No,Tuesday,Yes,Kolkata,Salt Lake,250000,416,337,Cloudy,Medium
09:00,No,Thursday,Yes,Chennai,Anna Nagar,820000,669,246,Sunny,Medium
12:00,No,Friday,Yes,Mumbai,Dadar East,1250000,248,497,Rainy,High
16:00,No,Thursday,Yes,Bengaluru,Majestic,560000,988,85,Rainy,High
22:00,Yes,Saturday,Yes,Mumbai,Kalbadevi,2450000,974,232,Foggy,Low
13:00,No,Thursday,Yes,Hyderabad,Begumpet,190000,894,219,Cloudy,Low
20:00,Yes,Wednesday,Yes,Chennai,Mandaveli,1120000,817,51,Foggy,Medium
20:00,No,Friday,Yes,Hyderabad,Begumpet,190000,189,261,Foggy,Medium
19:00,Yes,Friday,Yes,Chennai,Royapettah,1200000,221,477,Sunny,Medium
16:00,Yes,Wednesday,Yes,Kolkata,Maniktala,350000,867,104,Rainy,Low
12:00,Yes,Monday,Yes,Mumbai,Lower Parel,1550000,232,250,Foggy,Low
16:00,Yes,Monday,Yes,Hyderabad,Attapur,260000,478,99,Cloudy,High
09:00,No,Friday,Yes,Mumbai,Juhu Beach,1150000,877,97,Cloudy,Medium
14:00,Yes,Sunday,No,Kolkata,Cossipore,570000,193,275,Cloudy,Low
22:00,Yes,Thursday,Yes,Mumbai,Girgaon,2550000,647,133,Rainy,Medium
11:00,Yes,Wednesday,Yes,Chennai,T Nagar,800000,474,367,Foggy,Medium
12:00,No,Saturday,Yes,Chennai,Choolaimedu,1140000,968,347,Sunny,Medium
16:00,No,Sunday,No,Kolkata,Rajarhat,240000,187,120,Cloudy,Medium
18:00,No,Sunday,No,Kolkata,Alipore,550000,849,234,Foggy,Medium
20:00,No,Tuesday,Yes,Hyderabad,Chandanagar,390000,697,247,Sunny,Medium
15:00,Yes,Sunday,No,Bengaluru,Vijayanagar,260000,693,53,Foggy,High
08:00,No,Monday,Yes,Kolkata,Alipore,550000,496,260,Rainy,Low
20:00,Yes,Wednesday,Yes,Bengaluru,Hebbal,290000,154,145,Rainy,High
14:00,No,Tuesday,Yes,Kolkata,Rajarhat,240000,237,150,Foggy,High
21:00,No,Thursday,Yes,Bengaluru,Ulsoor,220000,399,465,Rainy,Medium
20:00,Yes,Friday,Yes,Hyderabad,Chandanagar,390000,982,117,Sunny,Low
17:00,Yes,Saturday,Yes,Hyderabad,Chandanagar,390000,244,481,Foggy,High
21:00,No,Wednesday,Yes,Mumbai,Matunga,2300000,129,431,Rainy,Low
14:00,No,Thursday,Yes,Chennai,T Nagar,800000,531,328,Foggy,Medium
10:00,No,Wednesday,Yes,Hyderabad,Gachibowli,140000,817,275,Foggy,High
18:00,No,Saturday,Yes,Mumbai,Lower Parel,1550000,126,298,Sunny,Medium
13:00,No,Thursday,Yes,Hyderabad,Patancheru,380000,311,337,Rainy,Medium
19:00,Yes,Sunday,No,Bengaluru,Hebbal,290000,154,264,Cloudy,Medium
12:00,Yes,Friday,Yes,Mumbai,Mazgaon,2400000,413,228,Sunny,Medium
08:00,No,Sunday,No,Chennai,Nungambakkam,900000,998,281,Rainy,High
13:00,Yes,Monday,Yes,Bengaluru,Jayanagar,250000,198,496,Cloudy,Medium
18:00,No,Saturday,Yes,Mumbai,Prabhadevi,2250000,293,272,Foggy,Medium
09:00,Yes,Monday,Yes,Chennai,Nungambakkam,900000,399,284,Foggy,Medium
10:00,No,Tuesday,Yes,Hyderabad,Begumpet,190000,689,474,Cloudy,Medium
21:00,Yes,Friday,Yes,Hyderabad,Charminar,210000,541,57,Sunny,Low
14:00,No,Friday,Yes,Kolkata,Tangra,510000,986,446,Cloudy,Medium
16:00,No,Thursday,Yes,Bengaluru,Majestic,560000,359,475,Foggy,Medium
18:00,Yes,Thursday,Yes,Kolkata,Esplanade,200000,180,433,Rainy,Low
20:00,No,Thursday,Yes,Chennai,T Nagar,800000,366,70,Rainy,High
15:00,No,Saturday,Yes,Bengaluru,Hebbal,290000,692,156,Rainy,Low
17:00,No,Friday,Yes,Bengaluru,Yelahanka,270000,764,299,Sunny,Medium
14:00,No,Thursday,Yes,Hyderabad,Himayatnagar,230000,777,406,Cloudy,Low
17:00,Yes,Saturday,Yes,Chennai,Royapettah,1200000,443,315,Cloudy,Medium
21:00,No,Saturday,Yes,Bengaluru,Koramangala,300000,969,455,Rainy,Medium
13:00,No,Thursday,Yes,Chennai,Adyar,850000,397,197,Cloudy,Medium
09:00,No,Sunday,No,Kolkata,Joka,530000,514,198,Cloudy,High
19:00,Yes,Monday,Yes,Kolkata,Sealdah,220000,733,330,Cloudy,High
10:00,Yes,Friday,Yes,Mumbai,Andheri West,1300000,916,352,Rainy,Medium
19:00,No,Sunday,No,Hyderabad,Charminar,210000,873,454,Foggy,Medium
13:00,Yes,Saturday,Yes,Mumbai,Chembur,1650000,300,283,Foggy,Medium
21:00,Yes,Tuesday,Yes,Chennai,Mylapore,780000,887,394,Foggy,Medium
11:00,Yes,Tuesday,Yes,Bengaluru,Vijayanagar,260000,658,236,Rainy,Low
20:00,No,Wednesday,Yes,Mumbai,Chembur,1650000,213,197,Foggy,High
15:00,No,Monday,Yes,Kolkata,Joka,530000,787,437,Rainy,High
21:00,Yes,Monday,Yes,Kolkata,Sealdah,220000,181,394,Rainy,Medium
14:00,Yes,Tuesday,Yes,Chennai,Guindy,1340000,240,307,Cloudy,Low
09:00,Yes,Friday,Yes,Mumbai,Dadar East,1250000,634,133,Foggy,High
14:00,Yes,Sunday,No,Kolkata,Alipore,550000,532,387,Sunny,High
16:00,Yes,Thursday,Yes,Hyderabad,Alwal,290000,831,359,Foggy,High
14:00,No,Thursday,Yes,Chennai,T Nagar,800000,380,388,Sunny,High
15:00,Yes,Monday,Yes,Chennai,Choolaimedu,1140000,736,398,Rainy,Medium
20:00,Yes,Wednesday,Yes,Chennai,Adyar,850000,907,112,Sunny,Low
13:00,Yes,Friday,Yes,Mumbai,Chembur,1650000,950,470,Cloudy,High
14:00,Yes,Friday,Yes,Kolkata,Dum Dum,270000,273,148,Rainy,High
10:00,Yes,Tuesday,Yes,Mumbai,Mazgaon,2400000,276,266,Cloudy,Medium
10:00,Yes,Saturday,Yes,Bengaluru,Majestic,560000,298,147,Foggy,High
09:00,No,Friday,Yes,Chennai,Nungambakkam,900000,599,292,Foggy,High
20:00,No,Sunday,No,Bengaluru,Ulsoor,220000,326,477,Sunny,Low
16:00,Yes,Friday,Yes,Kolkata,Cossipore,570000,133,269,Cloudy,High
20:00,Yes,Friday,Yes,Hyderabad,Attapur,260000,309,170,Cloudy,Low
14:00,Yes,Saturday,Yes,Chennai,Mandaveli,1120000,615,152,Foggy,High
22:00,No,Monday,Yes,Mumbai,Girgaon,2550000,707,141,Foggy,Low
19:00,Yes,Sunday,No,Kolkata,Salt Lake,250000,901,152,Sunny,Medium
15:00,No,Monday,Yes,Hyderabad,Shamshabad,310000,780,122,Sunny,Low
14:00,Yes,Wednesday,Yes,Mumbai,Kalbadevi,2450000,975,496,Rainy,Medium
21:00,Yes,Tuesday,Yes,Bengaluru,Yelahanka,270000,271,72,Rainy,Medium
08:00,Yes,Friday,Yes,Chennai,T Nagar,800000,291,154,Sunny,Low
21:00,Yes,Saturday,Yes,Mumbai,Chembur,1650000,742,480,Rainy,High
12:00,Yes,Sunday,No,Mumbai,Matunga,2300000,948,150,Sunny,Medium
09:00,No,Sunday,No,Kolkata,Maniktala,350000,451,312,Rainy,Medium
14:00,No,Monday,Yes,Mumbai,Girgaon,2550000,277,141,Rainy,High
14:00,No,Wednesday,Yes,Hyderabad,Himayatnagar,230000,678,182,Rainy,Low
10:00,No,Thursday,Yes,Chennai,Guindy,1340000,635,471,Rainy,Low
19:00,Yes,Wednesday,Yes,Bengaluru,MG Road,340000,903,368,Foggy,Low
08:00,No,Tuesday,Yes,Hyderabad,Chandanagar,390000,226,100,Rainy,High
10:00,Yes,Saturday,Yes,Chennai,Chromepet,1320000,856,119,Sunny,High
12:00,Yes,Sunday,No,Chennai,Guindy,1340000,346,434,Sunny,High
15:00,Yes,Tuesday,Yes,Mumbai,Lower Parel,1550000,115,278,Sunny,High
13:00,Yes,Wednesday,Yes,Kolkata,Maniktala,350000,764,494,Foggy,High
11:00,Yes,Tuesday,Yes,Chennai,Nungambakkam,900000,624,364,Cloudy,Medium
15:00,Yes,Thursday,Yes,Hyderabad,Himayatnagar,230000,459,92,Sunny,High
11:00,Yes,Tuesday,Yes,Chennai,Anna Nagar,820000,208,259,Foggy,High
19:00,No,Thursday,Yes,Chennai,Nungambakkam,900000,706,87,Foggy,High
22:00,No,Saturday,Yes,Bengaluru,Yelahanka,270000,371,480,Foggy,Low
21:00,Yes,Saturday,Yes,Bengaluru,Hulimavu,600000,971,239,Foggy,High
19:00,Yes,Thursday,Yes,Hyderabad,Charminar,210000,924,318,Sunny,Medium
22:00,Yes,Saturday,Yes,Mumbai,Juhu Beach,1150000,418,62,Rainy,Medium
11:00,Yes,Monday,Yes,Mumbai,Mazgaon,2400000,895,90,Cloudy,Low
20:00,No,Sunday,No,Chennai,Chromepet,1320000,270,130,Sunny,High
13:00,Yes,Saturday,Yes,Kolkata,Dum Dum,270000,613,162,Cloudy,Low
18:00,No,Monday,Yes,Chennai,Guindy,1340000,105,404,Foggy,Medium
10:00,Yes,Friday,Yes,Hyderabad,Chandanagar,390000,792,440,Foggy,Low
13:00,Yes,Friday,Yes,Chennai,Chromepet,1320000,760,325,Foggy,Medium
20:00,No,Monday,Yes,Chennai,Mandaveli,1120000,943,69,Sunny,Medium
16:00,Yes,Tuesday,Yes,Chennai,Adyar,850000,564,94,Foggy,High
12:00,Yes,Saturday,Yes,Mumbai,Prabhadevi,2250000,743,174,Foggy,Medium
11:00,No,Thursday,Yes,Hyderabad,Attapur,260000,578,216,Sunny,High
10:00,No,Wednesday,Yes,Kolkata,Tangra,510000,415,160,Rainy,Low
20:00,Yes,Saturday,Yes,Mumbai,Mazgaon,2400000,442,291,Sunny,Low
19:00,No,Friday,Yes,Hyderabad,Attapur,260000,290,370,Sunny,High
22:00,Yes,Tuesday,Yes,Mumbai,Dadar East,1250000,668,265,Foggy,Low
11:00,No,Monday,Yes,Hyderabad,Charminar,210000,310,458,Foggy,Medium
18:00,Yes,Tuesday,Yes,Hyderabad,Himayatnagar,230000,400,474,Foggy,Low
16:00,Yes,Friday,Yes,Hyderabad,Begumpet,190000,337,236,Sunny,Low
18:00,No,Monday,Yes,Bengaluru,Hebbal,290000,984,208,Foggy,Low
12:00,Yes,Tuesday,Yes,Kolkata,Rajarhat,240000,302,168,Foggy,Medium
17:00,Yes,Thursday,Yes,Mumbai,Dadar East,1250000,338,89,Rainy,High
19:00,Yes,Tuesday,Yes,Kolkata,Salt Lake,250000,353,493,Sunny,High
12:00,No,Monday,Yes,Hyderabad,Patancheru,380000,492,370,Sunny,Low
13:00,No,Tuesday,Yes,Kolkata,Dum Dum,270000,284,189,Cloudy,High
14:00,No,Saturday,Yes,Kolkata,Cossipore,570000,571,331,Cloudy,Medium
10:00,Yes,Friday,Yes,Mumbai,Lower Parel,1550000,501,453,Foggy,Low
11:00,Yes,Wednesday,Yes,Bengaluru,Hebbal,290000,610,289,Rainy,High
18:00,No,Monday,Yes,Kolkata,Maniktala,350000,196,366,Foggy,Medium
22:00,Yes,Wednesday,Yes,Bengaluru,Koramangala,300000,778,235,Rainy,Low
22:00,No,Friday,Yes,Kolkata,Salt Lake,250000,900,57,Cloudy,Medium
13:00,No,Tuesday,Yes,Bengaluru,Koramangala,300000,993,493,Cloudy,Low
15:00,No,Saturday,Yes,Hyderabad,Nizampet,400000,731,256,Foggy,Low
12:00,Yes,Thursday,Yes,Chennai,Chromepet,1320000,482,259,Foggy,High
14:00,Yes,Friday,Yes,Mumbai,Andheri West,1300000,279,495,Rainy,Medium
13:00,No,Monday,Yes,Hyderabad,Alwal,290000,945,347,Sunny,Low
14:00,Yes,Thursday,Yes,Hyderabad,Patancheru,380000,944,346,Cloudy,High
18:00,No,Saturday,Yes,Bengaluru,Vijayanagar,260000,373,492,Cloudy,High
10:00,Yes,Tuesday,Yes,Hyderabad,Himayatnagar,230000,573,131,Rainy,Low
15:00,No,Wednesday,Yes,Chennai,T Nagar,800000,571,109,Cloudy,High
09:00,No,Wednesday,Yes,Bengaluru,Ulsoor,220000,567,321,Foggy,Medium
18:00,Yes,Thursday,Yes,Mumbai,Mazgaon,2400000,643,388,Foggy,High
18:00,No,Wednesday,Yes,Chennai,Adyar,850000,939,164,Foggy,Low
21:00,Yes,Thursday,Yes,Bengaluru,Hebbal,290000,970,281,Rainy,Medium
21:00,No,Monday,Yes,Chennai,Guindy,1340000,504,175,Cloudy,Low
12:00,No,Saturday,Yes,Kolkata,Rajarhat,240000,148,198,Sunny,Medium
22:00,Yes,Saturday,Yes,Kolkata,Salt Lake,250000,862,182,Cloudy,Medium
18:00,Yes,Tuesday,Yes,Kolkata,Alipore,550000,295,316,Sunny,High
09:00,Yes,Tuesday,Yes,Chennai,Guindy,1340000,355,234,Sunny,Low
08:00,No,Thursday,Yes,Hyderabad,Chandanagar,390000,923,312,Cloudy,Low
17:00,Yes,Monday,Yes,Bengaluru,MG Road,340000,871,438,Cloudy,High
12:00,Yes,Friday,Yes,Hyderabad,Patancheru,380000,870,248,Foggy,Low
09:00,Yes,Sunday,No,Hyderabad,Himayatnagar,230000,346,421,Foggy,Low
16:00,Yes,Sunday,No,Mumbai,Andheri West,1300000,867,60,Rainy,Medium
17:00,No,Monday,Yes,Chennai,Guindy,1340000,822,445,Foggy,Medium
21:00,Yes,Friday,Yes,Hyderabad,Alwal,290000,611,485,Sunny,High
12:00,No,Thursday,Yes,Hyderabad,Gachibowli,140000,498,460,Foggy,Medium
22:00,No,Sunday,No,Kolkata,Tangra,510000,750,392,Sunny,Medium
15:00,No,Tuesday,Yes,Chennai,Anna Nagar,820000,748,481,Foggy,Low
18:00,Yes,Saturday,Yes,Kolkata,Tangra,510000,931,423,Rainy,High
11:00,Yes,Sunday,No,Kolkata,Dum Dum,270000,637,388,Rainy,Low
20:00,No,Tuesday,Yes,Kolkata,Maniktala,350000,501,316,Sunny,High
10:00,Yes,Wednesday,Yes,Hyderabad,Patancheru,380000,829,249,Cloudy,Medium
21:00,No,Saturday,Yes,Hyderabad,Shamshabad,310000,677,412,Foggy,Low
08:00,Yes,Sunday,No,Mumbai,Dadar East,1250000,911,323,Sunny,Medium
18:00,No,Wednesday,Yes,Bengaluru,Jayanagar,250000,911,92,Rainy,Medium
13:00,No,Saturday,Yes,Chennai,Anna Nagar,820000,526,435,Sunny,Medium
09:00,Yes,Wednesday,Yes,Hyderabad,Chandanagar,390000,944,331,Cloudy,High
14:00,Yes,Monday,Yes,Bengaluru,Ulsoor,220000,679,163,Sunny,High
17:00,No,Friday,Yes,Hyderabad,Patancheru,380000,161,339,Sunny,High
13:00,Yes,Friday,Yes,Hyderabad,Chandanagar,390000,462,356,Sunny,Low
16:00,No,Friday,Yes,Kolkata,Rajarhat,240000,793,157,Sunny,Medium
11:00,Yes,Monday,Yes,Mumbai,Girgaon,2550000,865,145,Rainy,High
11:00,Yes,Thursday,Yes,Kolkata,Maniktala,350000,864,288,Foggy,Low
18:00,No,Wednesday,Yes,Bengaluru,Koramangala,300000,482,374,Cloudy,High
12:00,Yes,Thursday,Yes,Mumbai,Kalbadevi,2450000,619,413,Foggy,Low
10:00,No,Saturday,Yes,Chennai,Nungambakkam,900000,262,339,Rainy,Low
18:00,No,Friday,Yes,Chennai,Anna Nagar,820000,567,454,Cloudy,Medium
11:00,Yes,Sunday,No,Kolkata,Cossipore,570000,592,108,Sunny,High
15:00,No,Thursday,Yes,Hyderabad,Charminar,210000,497,166,Cloudy,High
20:00,No,Tuesday,Yes,Chennai,Adyar,850000,559,437,Sunny,Low
20:00,No,Sunday,No,Chennai,Mandaveli,1120000,899,490,Rainy,Medium
21:00,No,Saturday,Yes,Kolkata,Dum Dum,270000,891,381,Sunny,Low
19:00,Yes,Friday,Yes,Kolkata,Dum Dum,270000,297,484,Cloudy,Low
11:00,No,Wednesday,Yes,Bengaluru,Vijayanagar,260000,643,332,Rainy,High
12:00,Yes,Monday,Yes,Kolkata,Salt Lake,250000,865,379,Sunny,High
14:00,No,Tuesday,Yes,Kolkata,Dum Dum,270000,719,109,Rainy,High
18:00,No,Wednesday,Yes,Chennai,Anna Nagar,820000,918,443,Cloudy,Medium
17:00,Yes,Thursday,Yes,Hyderabad,Chandanagar,390000,600,445,Rainy,Medium
16:00,Yes,Friday,Yes,Bengaluru,MG Road,340000,425,53,Rainy,Low
09:00,No,Thursday,Yes,Mumbai,Prabhadevi,2250000,834,334,Sunny,High
12:00,No,Thursday,Yes,Mumbai,Chembur,1650000,515,276,Sunny,High
15:00,No,Thursday,Yes,Bengaluru,Yelahanka,270000,420,251,Cloudy,High
08:00,Yes,Tuesday,Yes,Kolkata,Cossipore,570000,941,261,Sunny,Medium
22:00,No,Sunday,No,Kolkata,Cossipore,570000,715,159,Sunny,Low
13:00,No,Tuesday,Yes,Chennai,T Nagar,800000,790,399,Rainy,High
13:00,Yes,Monday,Yes,Hyderabad,Nizampet,400000,474,230,Sunny,Low
20:00,Yes,Tuesday,Yes,Kolkata,Rajarhat,240000,258,295,Sunny,Medium
17:00,No,Wednesday,Yes,Hyderabad,Charminar,210000,739,208,Cloudy,Medium
16:00,No,Thursday,Yes,Mumbai,Mazgaon,2400000,714,74,Cloudy,Low
09:00,Yes,Monday,Yes,Kolkata,Maniktala,350000,222,109,Foggy,Low
14:00,Yes,Tuesday,Yes,Hyderabad,Shamshabad,310000,699,268,Rainy,Low
11:00,Yes,Tuesday,Yes,Chennai,Choolaimedu,1140000,136,437,Foggy,Low
12:00,No,Wednesday,Yes,Mumbai,Dadar East,1250000,464,254,Sunny,Low
18:00,Yes,Sunday,No,Mumbai,Dadar East,1250000,221,293,Rainy,Medium
21:00,Yes,Monday,Yes,Hyderabad,Attapur,260000,692,493,Foggy,Low
09:00,No,Tuesday,Yes,Chennai,Royapettah,1200000,577,149,Foggy,Medium
11:00,No,Saturday,Yes,Kolkata,Cossipore,570000,846,334,Rainy,High
22:00,No,Tuesday,Yes,Kolkata,Esplanade,200000,448,67,Foggy,Low
22:00,Yes,Friday,Yes,Kolkata,Esplanade,200000,475,309,Cloudy,Low
16:00,Yes,Tuesday,Yes,Kolkata,Cossipore,570000,682,343,Sunny,High
20:00,Yes,Saturday,Yes,Chennai,Mandaveli,1120000,831,405,Cloudy,High
16:00,Yes,Friday,Yes,Bengaluru,Vijayanagar,260000,391,490,Foggy,High
19:00,No,Monday,Yes,Hyderabad,Chandanagar,390000,230,497,Rainy,Medium
18:00,No,Thursday,Yes,Mumbai,Prabhadevi,2250000,997,59,Foggy,Medium
10:00,Yes,Saturday,Yes,Mumbai,Lower Parel,1550000,352,108,Sunny,Low
12:00,No,Saturday,Yes,Kolkata,Dum Dum,270000,852,164,Rainy,High
14:00,Yes,Tuesday,Yes,Mumbai,Dadar East,1250000,468,379,Rainy,High
15:00,Yes,Sunday,No,Kolkata,Rajarhat,240000,731,110,Foggy,High
16:00,No,Thursday,Yes,Chennai,Guindy,1340000,998,115,Rainy,High
13:00,Yes,Thursday,Yes,Chennai,Anna Nagar,820000,717,408,Rainy,Low
11:00,Yes,Wednesday,Yes,Chennai,Anna Nagar,820000,131,217,Cloudy,High
22:00,No,Thursday,Yes,Chennai,T Nagar,800000,534,268,Cloudy,High
16:00,Yes,Friday,Yes,Hyderabad,Charminar,210000,617,411,Foggy,Low
12:00,Yes,Friday,Yes,Chennai,Chromepet,1320000,997,390,Sunny,High
21:00,No,Tuesday,Yes,Chennai,Adyar,850000,651,462,Foggy,Medium
19:00,Yes,Sunday,No,Kolkata,Maniktala,350000,292,242,Rainy,High
14:00,No,Tuesday,Yes,Hyderabad,Shamshabad,310000,769,331,Cloudy,Low
18:00,Yes,Thursday,Yes,Chennai,Adyar,850000,173,174,Foggy,Low
17:00,No,Sunday,No,Hyderabad,Attapur,260000,274,287,Sunny,High
09:00,No,Friday,Yes,Mumbai,Matunga,2300000,898,397,Foggy,Medium
21:00,Yes,Thursday,Yes,Mumbai,Chembur,1650000,900,408,Rainy,High
08:00,No,Monday,Yes,Chennai,Nungambakkam,900000,756,457,Sunny,High
12:00,No,Sunday,No,Mumbai,Mazgaon,2400000,865,424,Cloudy,Low
21:00,No,Wednesday,Yes,Mumbai,Kalbadevi,2450000,727,365,Foggy,High
19:00,Yes,Wednesday,Yes,Mumbai,Dadar East,1250000,722,334,Sunny,Medium
11:00,Yes,Monday,Yes,Hyderabad,Alwal,290000,931,419,Rainy,Low
09:00,No,Saturday,Yes,Kolkata,Joka,530000,146,189,Foggy,Low
11:00,Yes,Friday,Yes,Mumbai,Girgaon,2550000,908,228,Sunny,Medium
09:00,Yes,Monday,Yes,Bengaluru,Hulimavu,600000,893,244,Rainy,Low
15:00,Yes,Tuesday,Yes,Hyderabad,Himayatnagar,230000,938,166,Sunny,Medium
16:00,No,Friday,Yes,Kolkata,Alipore,550000,692,308,Cloudy,Medium
19:00,No,Friday,Yes,Kolkata,Esplanade,200000,900,284,Cloudy,Low
09:00,No,Tuesday,Yes,Chennai,T Nagar,800000,375,232,Sunny,High
08:00,Yes,Friday,Yes,Mumbai,Lower Parel,1550000,566,199,Cloudy,Medium
08:00,Yes,Saturday,Yes,Bengaluru,Yelahanka,270000,433,462,Rainy,Medium
18:00,Yes,Monday,Yes,Bengaluru,Hulimavu,600000,611,429,Cloudy,Low
18:00,No,Friday,Yes,Hyderabad,Gachibowli,140000,524,469,Foggy,High
21:00,Yes,Tuesday,Yes,Chennai,T Nagar,800000,698,387,Foggy,High
11:00,Yes,Thursday,Yes,Hyderabad,Nizampet,400000,161,304,Foggy,Low
11:00,Yes,Monday,Yes,Kolkata,Maniktala,350000,809,263,Cloudy,Medium
14:00,Yes,Wednesday,Yes,Hyderabad,Charminar,210000,487,355,Rainy,Medium
09:00,No,Friday,Yes,Bengaluru,Ulsoor,220000,769,407,Rainy,Medium
10:00,No,Saturday,Yes,Mumbai,Chembur,1650000,827,217,Foggy,Low
21:00,Yes,Thursday,Yes,Hyderabad,Gachibowli,140000,570,150,Foggy,High
12:00,No,Friday,Yes,Kolkata,Sealdah,220000,734,412,Foggy,Low
18:00,Yes,Wednesday,Yes,Chennai,Anna Nagar,820000,513,138,Sunny,Medium
12:00,Yes,Wednesday,Yes,Bengaluru,Majestic,560000,556,408,Sunny,Low
13:00,No,Saturday,Yes,Hyderabad,Alwal,290000,107,237,Rainy,Medium
10:00,Yes,Monday,Yes,Bengaluru,Yelahanka,270000,935,454,Rainy,High
17:00,Yes,Thursday,Yes,Chennai,Anna Nagar,820000,258,236,Cloudy,Medium
19:00,Yes,Friday,Yes,Chennai,Adyar,850000,350,339,Rainy,High
09:00,No,Friday,Yes,Mumbai,Chembur,1650000,389,300,Rainy,Low
